id,spec,grade,wear,temp,target_torque,speed,label,label_name,source,workstation_id,workstation_name,device_no,operator,workshop,batch_id,record_time
B0465,M12,8.8,0,20.0,80.0,163.29,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-03,2026-08-01 08:28:07
B0575,M20,8.8,0,20.0,320.0,118.25,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 08:30:34
B1190,M16,8.8,0,20.0,180.0,153.02,4,虚拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 08:31:35
B0104,M24,8.8,0,20.0,520.0,123.75,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 08:31:48
E1002,M16,12.9,2,50.0,180.0,147.91,2,过拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 08:32:25
B0707,M20,8.8,0,20.0,320.0,172.84,1,欠拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 08:33:55
E0079,M20,8.8,0,-10.0,320.0,172.03,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 08:35:05
B1175,M20,8.8,0,20.0,320.0,157.59,4,虚拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 08:36:55
E0607,M20,8.8,0,-10.0,320.0,181.17,1,欠拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 08:37:04
E0332,M24,10.9,1,20.0,520.0,181.61,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-05,2026-08-01 08:40:00
E1243,M20,8.8,0,-10.0,320.0,148.05,3,滑牙,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 08:40:47
B0303,M20,8.8,0,20.0,320.0,168.39,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 08:42:50
E0563,M20,10.9,1,20.0,320.0,164.88,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 08:44:01
B1070,M16,8.8,0,20.0,180.0,111.7,3,滑牙,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 08:46:20
B0801,M12,8.8,0,20.0,80.0,181.09,1,欠拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-03,2026-08-01 08:52:14
B0790,M16,8.8,0,20.0,180.0,184.97,1,欠拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 08:53:08
E0482,M16,10.9,1,20.0,180.0,129.02,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 08:53:52
B1121,M12,8.8,0,20.0,80.0,122.1,4,虚拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 09:00:04
B0410,M16,8.8,0,20.0,180.0,159.42,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 09:00:12
B0839,M20,8.8,0,20.0,320.0,144.57,2,过拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 09:02:57
B1038,M16,8.8,0,20.0,180.0,168.36,3,滑牙,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 09:03:25
B0889,M12,8.8,0,20.0,80.0,180.72,2,过拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 09:08:02
E0424,M24,8.8,0,-10.0,520.0,139.81,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 09:11:37
E1775,M20,10.9,1,20.0,320.0,149.01,4,虚拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 09:14:50
E0166,M16,8.8,0,-10.0,180.0,168.69,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 09:16:19
B0478,M16,8.8,0,20.0,180.0,157.07,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 09:17:03
B0415,M20,8.8,0,20.0,320.0,113.93,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 09:17:35
E0452,M24,10.9,1,20.0,520.0,121.75,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-05,2026-08-01 09:18:27
E0394,M16,8.8,0,-10.0,180.0,135.78,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 09:22:13
B0233,M12,8.8,0,20.0,80.0,172.29,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 09:24:20
E0890,M16,10.9,1,20.0,180.0,177.52,1,欠拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 09:25:23
E0329,M12,10.9,1,20.0,80.0,165.92,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 09:28:49
E0971,M20,10.9,1,20.0,320.0,172.23,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 09:30:18
B0540,M24,8.8,0,20.0,520.0,159.43,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 09:31:21
B0300,M24,8.8,0,20.0,520.0,126.75,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 09:33:21
B1167,M20,8.8,0,20.0,320.0,118.19,4,虚拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 09:34:46
B0369,M12,8.8,0,20.0,80.0,140.34,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-03,2026-08-01 09:35:31
B0170,M16,8.8,0,20.0,180.0,129.23,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 09:38:06
B0272,M24,8.8,0,20.0,520.0,146.15,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 09:38:30
E0544,M24,8.8,0,-10.0,520.0,188.23,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 09:39:57
E0938,M16,10.9,1,20.0,180.0,181.07,2,过拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 09:40:20
E0583,M20,8.8,0,-10.0,320.0,110.91,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 09:42:19
E1061,M12,10.9,1,20.0,80.0,134.17,2,过拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 09:42:40
B0821,M12,8.8,0,20.0,80.0,161.52,1,欠拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 09:43:32
E1512,M24,12.9,2,50.0,520.0,170.2,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-06,2026-08-01 09:43:33
B1180,M24,8.8,0,20.0,520.0,129.02,4,虚拧,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 09:47:14
B0454,M16,8.8,0,20.0,180.0,162.72,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 09:47:23
E0199,M20,8.8,0,-10.0,320.0,179.93,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 09:48:02
B0429,M12,8.8,0,20.0,80.0,158.64,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 09:48:26
E1129,M12,8.8,0,-10.0,80.0,174.3,2,过拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 09:53:49
E1023,M20,12.9,2,50.0,320.0,182.16,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 09:54:03
E1436,M24,10.9,1,20.0,520.0,164.68,3,滑牙,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-05,2026-08-01 09:54:37
E1210,M16,8.8,0,-10.0,180.0,123.02,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 09:54:48
E1269,M12,12.9,2,50.0,80.0,160.42,3,滑牙,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 09:56:34
B0830,M16,8.8,0,20.0,180.0,123.28,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 10:05:16
E0293,M12,10.9,1,20.0,80.0,113.66,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 10:06:21
E0100,M24,8.8,0,-10.0,520.0,159.33,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 10:07:54
E0390,M16,12.9,2,50.0,180.0,164.54,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 10:08:53
E0744,M24,12.9,2,50.0,520.0,155.96,1,欠拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-06,2026-08-01 10:09:50
E0669,M12,12.9,2,50.0,80.0,142.94,1,欠拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 10:10:17
B0138,M16,8.8,0,20.0,180.0,111.61,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 10:13:07
E1359,M20,12.9,2,50.0,320.0,138.52,3,滑牙,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 10:14:08
E0336,M24,12.9,2,50.0,520.0,131.82,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-06,2026-08-01 10:15:08
E1751,M20,10.9,1,20.0,320.0,117.5,4,虚拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 10:15:58
E1063,M20,8.8,0,-10.0,320.0,158.05,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 10:17:15
B0385,M12,8.8,0,20.0,80.0,162.66,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 10:17:51
E1299,M20,12.9,2,50.0,320.0,123.66,3,滑牙,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-01,2026-08-01 10:19:37
B0787,M20,8.8,0,20.0,320.0,135.75,1,欠拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 10:19:52
B0147,M20,8.8,0,20.0,320.0,129.35,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-01,2026-08-01 10:29:52
E1122,M16,12.9,2,50.0,180.0,123.18,2,过拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 10:30:30
B0663,M20,8.8,0,20.0,320.0,157.29,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 10:31:50
E0483,M20,12.9,2,50.0,320.0,121.55,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-01,2026-08-01 10:31:56
E1666,M16,8.8,0,-10.0,180.0,135.9,4,虚拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 10:31:57
E0246,M16,12.9,2,50.0,180.0,158.49,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 10:34:50
E1564,M24,8.8,0,-10.0,520.0,153.49,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 10:35:04
B0970,M16,8.8,0,20.0,180.0,152.92,3,滑牙,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 10:35:46
B0844,M24,8.8,0,20.0,520.0,130.63,2,过拧,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 10:36:13
E0709,M12,8.8,0,-10.0,80.0,178.02,1,欠拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 10:37:52
E0066,M16,12.9,2,50.0,180.0,112.46,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 10:39:42
B0117,M12,8.8,0,20.0,80.0,183.82,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 10:40:58
B0328,M24,8.8,0,20.0,520.0,141.6,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 10:41:37
E1430,M16,10.9,1,20.0,180.0,111.87,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 10:46:30
E1003,M20,8.8,0,-10.0,320.0,187.25,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 10:49:12
E1528,M24,8.8,0,-10.0,520.0,160.34,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 10:53:12
B0870,M16,8.8,0,20.0,180.0,173.25,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 10:53:27
E0838,M16,8.8,0,-10.0,180.0,150.65,1,欠拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 10:53:53
E1572,M24,12.9,2,50.0,520.0,132.38,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 10:54:31
E1681,M12,8.8,0,-10.0,80.0,170.43,4,虚拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 10:55:35
E0040,M24,8.8,0,-10.0,520.0,173.84,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 10:56:53
E0252,M24,12.9,2,50.0,520.0,111.01,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 10:57:27
B1099,M20,8.8,0,20.0,320.0,177.5,4,虚拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 10:58:06
B0250,M16,8.8,0,20.0,180.0,167.89,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 10:59:46
B1019,M20,8.8,0,20.0,320.0,190.59,3,滑牙,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 10:59:59
B0902,M16,8.8,0,20.0,180.0,163.16,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 11:02:57
E0671,M20,10.9,1,20.0,320.0,194.26,1,欠拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 11:06:27
B0817,M12,8.8,0,20.0,80.0,186.5,1,欠拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 11:06:42
E1139,M20,10.9,1,20.0,320.0,153.84,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 11:07:42
B0562,M16,8.8,0,20.0,180.0,187.19,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 11:07:48
B0056,M24,8.8,0,20.0,520.0,168.68,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 11:09:13
E1171,M20,8.8,0,-10.0,320.0,166.05,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 11:09:48
B0811,M20,8.8,0,20.0,320.0,119.72,1,欠拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 11:10:49
E1322,M16,10.9,1,20.0,180.0,135.43,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 11:10:50
B1110,M16,8.8,0,20.0,180.0,166.17,4,虚拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 11:12:53
B0397,M12,8.8,0,20.0,80.0,178.96,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 11:13:28
B0352,M24,8.8,0,20.0,520.0,183.74,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 11:14:00
E1580,M24,10.9,1,20.0,520.0,139.81,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-05,2026-08-01 11:14:53
E0606,M16,12.9,2,50.0,180.0,183.52,1,欠拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 11:15:08
E0581,M12,10.9,1,20.0,80.0,178.5,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 11:22:01
E0326,M16,10.9,1,20.0,180.0,162.87,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 11:24:39
E0263,M20,10.9,1,20.0,320.0,123.28,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 11:25:15
E0318,M16,12.9,2,50.0,180.0,135.7,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 11:29:49
E0070,M16,8.8,0,-10.0,180.0,152.49,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 11:30:22
E0086,M16,10.9,1,20.0,180.0,168.02,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 11:31:31
E1684,M24,8.8,0,-10.0,520.0,121.9,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 11:32:11
B0574,M16,8.8,0,20.0,180.0,144.05,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 11:32:46
E1212,M24,12.9,2,50.0,520.0,163.65,3,滑牙,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 11:33:39
E0776,M24,10.9,1,20.0,520.0,184.13,1,欠拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 11:36:27
B0699,M20,8.8,0,20.0,320.0,166.63,0,合格,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-01,2026-08-01 11:36:37
E0442,M16,8.8,0,-10.0,180.0,157.04,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 11:38:14
E1772,M24,10.9,1,20.0,520.0,126.62,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-05,2026-08-01 11:39:36
E1305,M12,12.9,2,50.0,80.0,123.34,3,滑牙,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-03,2026-08-01 11:39:43
E0264,M24,12.9,2,50.0,520.0,140.23,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-06,2026-08-01 11:40:08
E0253,M12,8.8,0,-10.0,80.0,113.68,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 11:41:23
E1078,M16,8.8,0,-10.0,180.0,125.96,2,过拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 11:42:07
B0848,M24,8.8,0,20.0,520.0,137.72,2,过拧,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 11:43:09
E0453,M12,12.9,2,50.0,80.0,172.38,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 11:44:15
B0584,M24,8.8,0,20.0,520.0,180.48,0,合格,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 11:44:28
E1418,M16,10.9,1,20.0,180.0,155.28,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-01,2026-08-01 11:47:07
E1114,M16,8.8,0,-10.0,180.0,153.77,2,过拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 11:48:07
B0887,M20,8.8,0,20.0,320.0,129.76,2,过拧,benchmark,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-06,2026-08-01 11:49:04
B0546,M16,8.8,0,20.0,180.0,159.33,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 11:50:36
E0783,M20,12.9,2,50.0,320.0,163.92,1,欠拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-04,2026-08-01 11:53:41
B0898,M16,8.8,0,20.0,180.0,174.57,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-03,2026-08-01 11:55:26
E0067,M20,8.8,0,-10.0,320.0,166.84,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-05,2026-08-01 11:57:49
E1288,M24,8.8,0,-10.0,520.0,163.98,3,滑牙,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-04,2026-08-01 11:58:46
B0542,M16,8.8,0,20.0,180.0,128.57,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 11:59:18
B1026,M16,8.8,0,20.0,180.0,150.26,3,滑牙,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 12:00:03
B1021,M12,8.8,0,20.0,80.0,142.9,3,滑牙,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 12:01:41
E0601,M12,8.8,0,-10.0,80.0,108.97,1,欠拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 12:06:26
E0779,M20,10.9,1,20.0,320.0,129.41,1,欠拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 12:06:39
B0858,M16,8.8,0,20.0,180.0,129.33,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 12:07:14
B1136,M24,8.8,0,20.0,520.0,124.52,4,虚拧,benchmark,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-02,2026-08-01 12:11:01
E1457,M12,10.9,1,20.0,80.0,155.61,3,滑牙,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 12:11:43
B0150,M16,8.8,0,20.0,180.0,181.49,0,合格,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 12:11:52
E1260,M24,12.9,2,50.0,520.0,176.65,3,滑牙,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 12:16:58
E1588,M24,8.8,0,-10.0,520.0,130.5,4,虚拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 12:18:26
E0415,M20,8.8,0,-10.0,320.0,134.89,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 12:20:11
E0151,M20,8.8,0,-10.0,320.0,179.71,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-02,2026-08-01 12:20:27
E1782,M16,12.9,2,50.0,180.0,147.21,4,虚拧,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 12:20:37
E0270,M16,12.9,2,50.0,180.0,178.26,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 12:21:28
